Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;33,24;4,75;0,186;25,6;100
0;33,24;4,75;0,186;25,6;100
0;33,24;4,75;0,186;25,6;100
0,01;33,24;4,75;0,186;25,6;99,999
0,01;33,24;4,75;0,186;25,6;99,999
0,01;33,24;4,75;0,186;25,6;99,999
0,01;33,24;4,75;0,186;25,6;99,999
0,01;33,24;4,75;0,186;25,6;99,999
0,01;33,24;4,75;0,186;25,6;99,999
0,01;33,24;4,75;0,186;25,6;99,999
0,02;33,24;4,75;0,186;25,599;99,999
0,02;33,24;4,75;0,186;25,599;99,999
0,02;33,24;4,75;0,186;25,599;99,998
0,02;33,24;4,75;0,186;25,599;99,998
0,02;33,24;4,75;0,186;25,599;99,998
0,03;33,24;4,75;0,186;25,599;99,998
0,03;33,24;4,75;0,186;25,599;99,998
0,03;33,24;4,75;0,186;25,599;99,998
0,03;33,24;4,75;0,186;25,599;99,998
0,03;33,24;4,75;0,186;25,599;99,997
0,03;33,24;4,75;0,186;25,599;99,997
0,03;33,24;4,75;0,186;25,599;99,997
0,04;33,24;4,75;0,186;25,599;99,997
0,04;33,24;4,75;0,186;25,599;99,997
0,04;33,24;4,75;0,186;25,599;99,997
0,04;33,26;4,758;0,186;25,599;99,997
0,04;33,28;4,766;0,186;25,599;99,996
0,05;33,29;4,774;0,186;25,599;99,996
0,05;33,31;4,782;0,187;25,599;99,996
0,05;33,33;4,79;0,187;25,599;99,996
0,05;33,34;4,798;0,187;25,599;99,996
0,05;33,36;4,806;0,188;25,599;99,996
0,05;33,38;4,814;0,188;25,599;99,995
0,05;33,39;4,822;0,188;25,599;99,995
0,06;33,41;4,83;0,189;25,599;99,995
0,06;33,43;4,838;0,189;25,599;99,995
0,06;33,44;4,846;0,189;25,598;99,995
0,06;33,46;4,853;0,19;25,598;99,994
0,06;33,48;4,861;0,19;25,598;99,994
0,07;33,49;4,869;0,19;25,598;99,994
0,07;33,51;4,876;0,19;25,598;99,994
0,07;33,53;4,883;0,191;25,598;99,994
0,07;33,54;4,889;0,191;25,598;99,994
0,07;33,56;4,897;0,191;25,598;99,993
0,07;33,57;4,904;0,192;25,598;99,993
0,08;33,59;4,911;0,192;25,598;99,993
0,08;33,61;4,918;0,192;25,598;99,993
0,08;33,62;4,925;0,192;25,598;99,993
0,08;33,64;4,932;0,193;25,598;99,992
0,08;33,66;4,939;0,193;25,598;99,992
0,08;33,67;4,945;0,193;25,598;99,992
0,08;33,69;4,952;0,193;25,598;99,992
0,09;33,71;4,958;0,194;25,598;99,991
0,09;33,72;4,964;0,194;25,598;99,991
0,09;33,74;4,97;0,194;25,598;99,991
0,09;33,75;4,977;0,194;25,597;99,991
0,09;33,77;4,983;0,195;25,597;99,99
0,09;33,79;4,99;0,195;25,597;99,99
0,1;33,8;4,996;0,195;25,597;99,99
0,1;33,82;5,002;0,195;25,597;99,99
0,1;33,83;5,009;0,196;25,597;99,989
0,1;33,85;5,015;0,196;25,597;99,989
0,1;33,87;5,021;0,196;25,597;99,989
0,11;33,88;5,027;0,196;25,597;99,989
0,11;33,9;5,033;0,197;25,597;99,988
0,11;33,91;5,039;0,197;25,597;99,988
0,11;33,93;5,045;0,197;25,597;99,988
0,11;33,95;5,051;0,197;25,597;99,988
0,11;33,96;5,057;0,198;25,597;99,987
0,12;33,98;5,063;0,198;25,597;99,987
0,12;33,99;5,069;0,198;25,596;99,987
0,12;34,01;5,076;0,198;25,596;99,987
0,12;34,02;5,082;0,199;25,596;99,986
0,12;34,04;5,087;0,199;25,596;99,986
0,12;34,06;5,093;0,199;25,596;99,986
0,13;34,07;5,099;0,199;25,596;99,985
0,13;34,09;5,105;0,199;25,596;99,985
0,13;34,1;5,111;0,2;25,596;99,985
0,13;34,12;5,116;0,2;25,596;99,985
0,13;34,13;5,122;0,2;25,596;99,984
0,13;34,15;5,128;0,2;25,596;99,984
0,14;34,16;5,134;0,201;25,596;99,984
0,14;34,18;5,139;0,201;25,596;99,983
0,14;34,2;5,144;0,201;25,596;99,983
0,14;34,21;5,149;0,201;25,595;99,983
0,14;34,23;5,154;0,201;25,595;99,983
0,14;34,24;5,16;0,202;25,595;99,982
0,14;34,26;5,165;0,202;25,595;99,982
0,15;34,27;5,169;0,202;25,595;99,982
0,15;34,29;5,174;0,202;25,595;99,981
0,15;34,3;5,179;0,202;25,595;99,981
0,15;34,32;5,185;0,203;25,595;99,981
0,15;34,33;5,19;0,203;25,595;99,98
0,16;34,35;5,195;0,203;25,595;99,98
0,16;34,37;5,2;0,203;25,595;99,98
0,16;34,38;5,204;0,203;25,595;99,979
0,16;34,4;5,209;0,203;25,594;99,979
0,16;34,41;5,214;0,204;25,594;99,979
0,16;34,43;5,218;0,204;25,594;99,978
0,16;34,44;5,223;0,204;25,594;99,978
0,17;34,46;5,228;0,204;25,594;99,978
0,17;34,47;5,232;0,204;25,594;99,977
0,17;34,49;5,237;0,205;25,594;99,977
0,17;34,5;5,242;0,205;25,594;99,977
0,17;34,52;5,246;0,205;25,594;99,976
0,18;34,53;5,251;0,205;25,594;99,976
0,18;34,55;5,256;0,205;25,594;99,976
0,18;34,56;5,26;0,205;25,593;99,975
0,18;34,58;5,265;0,206;25,593;99,975
0,18;34,59;5,269;0,206;25,593;99,974
0,18;34,61;5,273;0,206;25,593;99,974
0,19;34,62;5,278;0,206;25,593;99,974
0,19;34,64;5,282;0,206;25,593;99,973
0,19;34,65;5,286;0,206;25,593;99,973
0,19;34,67;5,29;0,207;25,593;99,973
0,19;34,68;5,294;0,207;25,593;99,972
0,19;34,7;5,298;0,207;25,593;99,972
0,19;34,71;5,302;0,207;25,593;99,971
0,2;34,73;5,306;0,207;25,592;99,971
0,2;34,74;5,31;0,207;25,592;99,971
0,2;34,76;5,313;0,208;25,592;99,97
0,2;34,77;5,317;0,208;25,592;99,97
0,2;34,79;5,32;0,208;25,592;99,97
0,21;34,8;5,324;0,208;25,592;99,969
0,21;34,82;5,328;0,208;25,592;99,969
0,21;34,83;5,331;0,208;25,592;99,968
0,21;34,85;5,335;0,208;25,592;99,968
0,21;34,86;5,338;0,209;25,592;99,968
0,21;34,88;5,341;0,209;25,591;99,967
0,21;34,89;5,345;0,209;25,591;99,967
0,22;34,91;5,348;0,209;25,591;99,966
0,22;34,92;5,351;0,209;25,591;99,966
0,22;34,94;5,355;0,209;25,591;99,966
0,22;34,95;5,358;0,209;25,591;99,965
0,22;34,96;5,362;0,209;25,591;99,965
