Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;31,62;4,417;0,177;25,013;99,999
0;31,62;4,417;0,177;25,013;99,999
0;31,62;4,417;0,177;25,013;99,999
0,01;31,62;4,417;0,177;25,013;99,998
0,01;31,62;4,417;0,177;25,013;99,998
0,01;31,62;4,417;0,177;25,013;99,998
0,01;31,62;4,417;0,177;25,013;99,998
0,01;31,62;4,417;0,177;25,013;99,997
0,01;31,62;4,417;0,177;25,013;99,997
0,01;31,62;4,417;0,177;25,013;99,997
0,02;31,62;4,417;0,177;25,013;99,996
0,02;31,62;4,417;0,177;25,013;99,996
0,02;31,62;4,417;0,177;25,012;99,996
0,02;31,62;4,417;0,177;25,012;99,995
0,02;31,62;4,417;0,177;25,012;99,995
0,03;31,62;4,417;0,177;25,012;99,995
0,03;31,62;4,417;0,177;25,012;99,994
0,03;31,62;4,417;0,177;25,012;99,994
0,03;31,62;4,417;0,177;25,012;99,994
0,03;31,62;4,417;0,177;25,012;99,993
0,03;31,62;4,417;0,177;25,012;99,993
0,03;31,62;4,417;0,177;25,012;99,993
0,04;31,62;4,417;0,177;25,012;99,992
0,04;31,62;4,417;0,177;25,012;99,992
0,04;31,62;4,417;0,177;25,011;99,992
0,04;31,63;4,421;0,177;25,011;99,991
0,04;31,65;4,424;0,177;25,011;99,991
0,05;31,66;4,428;0,177;25,011;99,991
0,05;31,67;4,432;0,177;25,011;99,99
0,05;31,68;4,436;0,177;25,011;99,99
0,05;31,69;4,439;0,177;25,011;99,99
0,05;31,71;4,443;0,178;25,011;99,989
0,05;31,72;4,447;0,178;25,011;99,989
0,05;31,73;4,45;0,178;25,011;99,989
0,06;31,74;4,454;0,178;25,011;99,988
0,06;31,75;4,458;0,178;25,011;99,988
0,06;31,76;4,462;0,178;25,01;99,988
0,06;31,78;4,466;0,179;25,01;99,987
0,06;31,79;4,469;0,179;25,01;99,987
0,07;31,8;4,473;0,179;25,01;99,986
0,07;31,81;4,477;0,179;25,01;99,986
0,07;31,82;4,48;0,179;25,01;99,986
0,07;31,84;4,484;0,179;25,01;99,985
0,07;31,85;4,488;0,179;25,01;99,985
0,07;31,86;4,491;0,18;25,01;99,985
0,08;31,87;4,495;0,18;25,01;99,984
0,08;31,88;4,498;0,18;25,009;99,984
0,08;31,9;4,502;0,18;25,009;99,983
0,08;31,91;4,506;0,18;25,009;99,983
0,08;31,92;4,509;0,18;25,009;99,983
0,08;31,93;4,512;0,18;25,009;99,982
0,08;31,94;4,516;0,181;25,009;99,982
0,09;31,95;4,519;0,181;25,009;99,981
0,09;31,97;4,522;0,181;25,009;99,981
0,09;31,98;4,525;0,181;25,009;99,981
0,09;31,99;4,528;0,181;25,009;99,98
0,09;32;4,532;0,181;25,008;99,98
0,09;32,01;4,535;0,181;25,008;99,979
0,1;32,03;4,538;0,181;25,008;99,979
0,1;32,04;4,541;0,182;25,008;99,978
0,1;32,05;4,543;0,182;25,008;99,978
0,1;32,06;4,546;0,182;25,008;99,978
0,1;32,07;4,549;0,182;25,008;99,977
0,11;32,08;4,552;0,182;25,008;99,977
0,11;32,09;4,554;0,182;25,008;99,976
0,11;32,11;4,557;0,182;25,008;99,976
0,11;32,12;4,559;0,182;25,007;99,975
0,11;32,13;4,562;0,182;25,007;99,975
