Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;32,93;-1,364;-0,073;18,779;99,996
0;32,93;-1,364;-0,073;18,778;99,994
0;32,93;-1,364;-0,073;18,778;99,992
0,01;32,93;-1,364;-0,073;18,778;99,99
0,01;32,93;-1,364;-0,073;18,777;99,988
0,01;32,93;-1,364;-0,073;18,777;99,986
0,01;32,93;-1,364;-0,073;18,776;99,984
0,01;32,93;-1,364;-0,073;18,776;99,982
0,01;32,93;-1,364;-0,073;18,776;99,979
0,01;32,93;-1,364;-0,073;18,775;99,977
0,02;32,93;-1,364;-0,073;18,775;99,975
0,02;32,93;-1,364;-0,073;18,775;99,973
0,02;32,93;-1,364;-0,073;18,774;99,971
0,02;32,93;-1,364;-0,073;18,774;99,969
0,02;32,93;-1,364;-0,073;18,773;99,967
0,03;32,93;-1,364;-0,073;18,773;99,964
0,03;32,93;-1,364;-0,073;18,772;99,962
0,03;32,93;-1,364;-0,073;18,772;99,96
0,03;32,93;-1,364;-0,073;18,772;99,957
0,03;32,93;-1,364;-0,073;18,771;99,955
0,03;32,93;-1,364;-0,073;18,771;99,953
0,03;32,93;-1,364;-0,073;18,77;99,95
0,04;32,93;-1,364;-0,073;18,77;99,948
0,04;32,93;-1,364;-0,073;18,769;99,946
0,04;32,93;-1,364;-0,073;18,769;99,943
0,04;32,94;-1,361;-0,072;18,768;99,941
0,04;32,95;-1,357;-0,072;18,768;99,939
0,05;32,96;-1,353;-0,072;18,768;99,936
0,05;32,97;-1,349;-0,072;18,767;99,934
0,05;32,98;-1,345;-0,072;18,767;99,931
0,05;32,99;-1,341;-0,071;18,766;99,929
0,05;33;-1,337;-0,071;18,766;99,927
0,05;33,01;-1,333;-0,071;18,765;99,924
0,05;33,02;-1,329;-0,071;18,765;99,922
0,06;33,03;-1,325;-0,071;18,764;99,92
0,06;33,04;-1,32;-0,07;18,764;99,917
0,06;33,05;-1,316;-0,07;18,764;99,915
0,06;33,06;-1,311;-0,07;18,763;99,912
0,06;33,07;-1,307;-0,07;18,763;99,91
0,07;33,08;-1,302;-0,069;18,762;99,908
0,07;33,09;-1,297;-0,069;18,762;99,905
0,07;33,1;-1,292;-0,069;18,761;99,903
0,07;33,11;-1,288;-0,069;18,761;99,901
0,07;33,12;-1,284;-0,068;18,761;99,899
0,07;33,13;-1,279;-0,068;18,76;99,896
0,08;33,13;-1,275;-0,068;18,76;99,894
0,08;33,14;-1,271;-0,068;18,759;99,892
0,08;33,15;-1,267;-0,067;18,759;99,89
0,08;33,16;-1,263;-0,067;18,758;99,888
0,08;33,17;-1,26;-0,067;18,758;99,886
0,08;33,18;-1,256;-0,067;18,758;99,884
0,08;33,19;-1,253;-0,067;18,757;99,882
0,09;33,2;-1,249;-0,067;18,757;99,88
0,09;33,21;-1,246;-0,066;18,757;99,877
0,09;33,22;-1,242;-0,066;18,756;99,875
0,09;33,23;-1,238;-0,066;18,756;99,874
0,09;33,24;-1,234;-0,066;18,755;99,872
0,09;33,25;-1,23;-0,066;18,755;99,87
0,1;33,26;-1,226;-0,065;18,755;99,868
0,1;33,27;-1,223;-0,065;18,754;99,866
0,1;33,28;-1,219;-0,065;18,754;99,864
0,1;33,29;-1,215;-0,065;18,754;99,862
0,1;33,3;-1,211;-0,064;18,753;99,86
0,11;33,31;-1,207;-0,064;18,753;99,858
0,11;33,31;-1,203;-0,064;18,753;99,857
0,11;33,32;-1,199;-0,064;18,752;99,855
0,11;33,33;-1,196;-0,064;18,752;99,853
0,11;33,34;-1,191;-0,063;18,752;99,851
0,11;33,35;-1,187;-0,063;18,751;99,85
0,12;33,36;-1,183;-0,063;18,751;99,848
0,12;33,37;-1,179;-0,063;18,751;99,846
0,12;33,38;-1,175;-0,063;18,75;99,845
0,12;33,39;-1,172;-0,062;18,75;99,843
0,12;33,4;-1,168;-0,062;18,75;99,841
0,12;33,41;-1,164;-0,062;18,749;99,84
