Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;34,39;-5,762;-0,214;26,979;99,995
0;34,39;-5,762;-0,214;26,978;99,992
0;34,39;-5,762;-0,214;26,977;99,99
0,01;34,39;-5,762;-0,214;26,976;99,987
0,01;34,39;-5,762;-0,214;26,976;99,985
0,01;34,39;-5,762;-0,214;26,975;99,982
0,01;34,39;-5,762;-0,214;26,974;99,98
0,01;34,39;-5,762;-0,214;26,974;99,977
0,01;34,39;-5,762;-0,214;26,973;99,975
0,01;34,39;-5,762;-0,214;26,972;99,972
0,02;34,39;-5,762;-0,214;26,972;99,97
0,02;34,39;-5,762;-0,214;26,971;99,967
0,02;34,39;-5,762;-0,214;26,97;99,965
0,02;34,39;-5,762;-0,214;26,97;99,962
0,02;34,39;-5,762;-0,214;26,969;99,96
0,03;34,39;-5,762;-0,214;26,968;99,957
0,03;34,39;-5,762;-0,214;26,968;99,954
0,03;34,39;-5,762;-0,214;26,967;99,952
0,03;34,39;-5,762;-0,214;26,966;99,949
0,03;34,39;-5,762;-0,214;26,965;99,947
0,03;34,39;-5,762;-0,214;26,965;99,944
0,03;34,39;-5,762;-0,214;26,964;99,941
0,04;34,39;-5,762;-0,214;26,963;99,939
0,04;34,39;-5,762;-0,214;26,963;99,936
0,04;34,39;-5,762;-0,214;26,962;99,933
0,04;34,4;-5,765;-0,214;26,961;99,931
0,04;34,41;-5,768;-0,214;26,96;99,928
0,05;34,42;-5,77;-0,214;26,96;99,926
0,05;34,43;-5,773;-0,214;26,959;99,923
0,05;34,44;-5,776;-0,214;26,958;99,92
0,05;34,45;-5,779;-0,214;26,958;99,918
0,05;34,46;-5,782;-0,214;26,957;99,915
0,05;34,47;-5,785;-0,214;26,956;99,912
0,05;34,47;-5,787;-0,215;26,955;99,91
0,06;34,48;-5,79;-0,215;26,955;99,907
0,06;34,49;-5,794;-0,215;26,954;99,904
0,06;34,5;-5,797;-0,215;26,953;99,902
0,06;34,51;-5,8;-0,215;26,953;99,899
0,06;34,52;-5,803;-0,215;26,952;99,897
0,07;34,53;-5,806;-0,215;26,951;99,894
0,07;34,54;-5,809;-0,215;26,951;99,891
0,07;34,54;-5,812;-0,215;26,95;99,889
0,07;34,55;-5,815;-0,216;26,949;99,886
0,07;34,56;-5,818;-0,216;26,949;99,884
0,07;34,57;-5,821;-0,216;26,948;99,882
0,08;34,58;-5,824;-0,216;26,947;99,879
0,08;34,59;-5,827;-0,216;26,947;99,877
0,08;34,6;-5,83;-0,216;26,946;99,874
0,08;34,6;-5,833;-0,216;26,945;99,872
0,08;34,61;-5,836;-0,216;26,945;99,87
0,08;34,62;-5,839;-0,216;26,944;99,868
0,08;34,63;-5,841;-0,217;26,944;99,865
0,09;34,64;-5,844;-0,217;26,943;99,863
0,09;34,65;-5,847;-0,217;26,942;99,861
0,09;34,66;-5,85;-0,217;26,942;99,859
0,09;34,67;-5,852;-0,217;26,941;99,856
0,09;34,67;-5,855;-0,217;26,941;99,854
0,09;34,68;-5,857;-0,217;26,94;99,852
0,1;34,69;-5,86;-0,217;26,939;99,85
0,1;34,7;-5,862;-0,217;26,939;99,848
0,1;34,71;-5,864;-0,217;26,938;99,846
0,1;34,72;-5,867;-0,217;26,938;99,843
0,1;34,73;-5,869;-0,218;26,937;99,841
0,11;34,74;-5,871;-0,218;26,936;99,839
0,11;34,74;-5,874;-0,218;26,936;99,837
0,11;34,75;-5,876;-0,218;26,935;99,835
0,11;34,76;-5,878;-0,218;26,935;99,833
0,11;34,77;-5,881;-0,218;26,934;99,83
0,11;34,78;-5,883;-0,218;26,934;99,828
0,12;34,79;-5,885;-0,218;26,933;99,826
0,12;34,8;-5,888;-0,218;26,932;99,824
0,12;34,8;-5,89;-0,218;26,932;99,822
0,12;34,81;-5,893;-0,218;26,931;99,82
0,12;34,82;-5,895;-0,219;26,931;99,817
0,12;34,83;-5,898;-0,219;26,93;99,815
0,13;34,84;-5,9;-0,219;26,929;99,813
0,13;34,85;-5,903;-0,219;26,929;99,811
0,13;34,85;-5,905;-0,219;26,928;99,809
0,13;34,86;-5,908;-0,219;26,928;99,806
0,13;34,87;-5,911;-0,219;26,927;99,804
0,13;34,88;-5,913;-0,219;26,926;99,802
0,14;34,89;-5,916;-0,219;26,926;99,8
0,14;34,9;-5,919;-0,219;26,925;99,797
0,14;34,9;-5,922;-0,219;26,925;99,795
0,14;34,91;-5,925;-0,22;26,924;99,793
0,14;34,92;-5,927;-0,22;26,923;99,791
0,14;34,93;-5,93;-0,22;26,923;99,788
0,14;34,94;-5,933;-0,22;26,922;99,786
0,15;34,95;-5,936;-0,22;26,921;99,784
0,15;34,96;-5,938;-0,22;26,921;99,781
0,15;34,96;-5,941;-0,22;26,92;99,779
0,15;34,97;-5,944;-0,22;26,92;99,776
0,15;34,98;-5,946;-0,22;26,919;99,774
0,16;34,99;-5,949;-0,22;26,918;99,771
0,16;35;-5,952;-0,221;26,917;99,769
0,16;35,01;-5,954;-0,221;26,917;99,766
0,16;35,01;-5,957;-0,221;26,916;99,763
0,16;35,02;-5,959;-0,221;26,915;99,761
0,16;35,03;-5,962;-0,221;26,915;99,758
0,16;35,04;-5,964;-0,221;26,914;99,755
0,17;35,05;-5,966;-0,221;26,913;99,752
0,17;35,05;-5,969;-0,221;26,912;99,75
0,17;35,06;-5,971;-0,221;26,912;99,747
0,17;35,07;-5,974;-0,221;26,911;99,744
0,17;35,08;-5,977;-0,222;26,91;99,741
0,18;35,09;-5,98;-0,222;26,909;99,738
0,18;35,1;-5,983;-0,222;26,909;99,735
0,18;35,1;-5,985;-0,222;26,908;99,733
0,18;35,11;-5,988;-0,222;26,907;99,73
0,18;35,12;-5,991;-0,222;26,906;99,727
0,18;35,13;-5,994;-0,222;26,905;99,724
0,19;35,14;-5,997;-0,222;26,905;99,721
0,19;35,14;-6;-0,222;26,904;99,718
0,19;35,15;-6,003;-0,222;26,903;99,715
0,19;35,16;-6,006;-0,223;26,902;99,712
0,19;35,17;-6,009;-0,223;26,901;99,709
0,19;35,18;-6,011;-0,223;26,901;99,707
0,19;35,18;-6,015;-0,223;26,9;99,704
0,2;35,19;-6,018;-0,223;26,899;99,701
0,2;35,2;-6,021;-0,223;26,898;99,698
0,2;35,21;-6,024;-0,223;26,898;99,695
0,2;35,22;-6,027;-0,223;26,897;99,692
0,2;35,23;-6,03;-0,224;26,896;99,689
0,21;35,23;-6,033;-0,224;26,895;99,686
0,21;35,24;-6,036;-0,224;26,894;99,683
0,21;35,25;-6,039;-0,224;26,894;99,681
0,21;35,26;-6,042;-0,224;26,893;99,678
0,21;35,27;-6,045;-0,224;26,892;99,675
0,21;35,27;-6,048;-0,224;26,891;99,672
0,21;35,28;-6,052;-0,224;26,891;99,669
0,22;35,29;-6,055;-0,224;26,89;99,666
0,22;35,3;-6,057;-0,225;26,889;99,663
0,22;35,31;-6,06;-0,225;26,888;99,661
