Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;26,64;2,254;0,096;23,357;99,997
0;26,64;2,254;0,096;23,357;99,996
0;26,64;2,254;0,096;23,356;99,994
0,01;26,64;2,254;0,096;23,356;99,993
0,01;26,64;2,254;0,096;23,356;99,992
0,01;26,64;2,254;0,096;23,355;99,99
0,01;26,64;2,254;0,096;23,355;99,989
0,01;26,64;2,254;0,096;23,355;99,988
0,01;26,64;2,254;0,096;23,355;99,986
0,01;26,64;2,254;0,096;23,354;99,985
0,02;26,64;2,254;0,096;23,354;99,983
0,02;26,64;2,254;0,096;23,354;99,982
0,02;26,64;2,254;0,096;23,353;99,981
0,02;26,64;2,254;0,096;23,353;99,979
0,02;26,64;2,254;0,096;23,353;99,978
0,03;26,64;2,254;0,096;23,352;99,977
0,03;26,64;2,254;0,096;23,352;99,975
0,03;26,64;2,254;0,096;23,352;99,974
0,03;26,64;2,254;0,096;23,351;99,972
0,03;26,64;2,254;0,096;23,351;99,971
0,03;26,64;2,254;0,096;23,351;99,97
0,03;26,64;2,254;0,096;23,35;99,968
0,04;26,64;2,254;0,096;23,35;99,967
0,04;26,64;2,254;0,096;23,35;99,965
0,04;26,64;2,254;0,096;23,349;99,964
0,04;26,64;2,253;0,096;23,349;99,963
0,04;26,64;2,251;0,096;23,349;99,961
0,05;26,64;2,25;0,096;23,348;99,96
0,05;26,64;2,249;0,096;23,348;99,959
0,05;26,64;2,247;0,096;23,348;99,957
0,05;26,64;2,246;0,096;23,347;99,956
0,05;26,64;2,244;0,096;23,347;99,955
0,05;26,64;2,243;0,096;23,347;99,953
0,05;26,64;2,241;0,096;23,346;99,952
0,06;26,64;2,24;0,096;23,346;99,95
0,06;26,64;2,238;0,096;23,346;99,949
0,06;26,64;2,237;0,096;23,346;99,948
0,06;26,64;2,235;0,096;23,345;99,946
0,06;26,64;2,233;0,096;23,345;99,945
0,07;26,64;2,232;0,096;23,345;99,944
0,07;26,64;2,23;0,095;23,344;99,943
0,07;26,64;2,228;0,095;23,344;99,941
0,07;26,64;2,227;0,095;23,344;99,94
0,07;26,64;2,225;0,095;23,344;99,939
0,07;26,64;2,223;0,095;23,343;99,938
0,08;26,65;2,222;0,095;23,343;99,937
0,08;26,65;2,22;0,095;23,343;99,936
0,08;26,65;2,218;0,095;23,342;99,934
0,08;26,65;2,217;0,095;23,342;99,933
0,08;26,65;2,215;0,095;23,342;99,932
0,08;26,65;2,213;0,095;23,342;99,931
0,08;26,65;2,212;0,095;23,341;99,93
0,09;26,65;2,21;0,095;23,341;99,929
0,09;26,65;2,209;0,095;23,341;99,928
0,09;26,65;2,207;0,094;23,341;99,927
0,09;26,65;2,205;0,094;23,34;99,926
0,09;26,65;2,204;0,094;23,34;99,925
0,09;26,65;2,202;0,094;23,34;99,924
0,1;26,65;2,2;0,094;23,34;99,923
0,1;26,65;2,199;0,094;23,34;99,922
0,1;26,65;2,197;0,094;23,339;99,921
0,1;26,65;2,195;0,094;23,339;99,92
0,1;26,65;2,194;0,094;23,339;99,919
0,11;26,65;2,192;0,094;23,339;99,919
0,11;26,66;2,19;0,094;23,339;99,918
0,11;26,66;2,189;0,094;23,338;99,917
0,11;26,66;2,187;0,094;23,338;99,916
0,11;26,66;2,186;0,094;23,338;99,915
0,11;26,66;2,184;0,094;23,338;99,915
0,12;26,66;2,183;0,093;23,338;99,914
0,12;26,66;2,181;0,093;23,337;99,913
0,12;26,66;2,18;0,093;23,337;99,912
0,12;26,66;2,179;0,093;23,337;99,912
0,12;26,66;2,177;0,093;23,337;99,911
0,12;26,66;2,176;0,093;23,337;99,91
0,13;26,66;2,174;0,093;23,337;99,91
0,13;26,66;2,173;0,093;23,336;99,909
0,13;26,66;2,172;0,093;23,336;99,908
0,13;26,66;2,17;0,093;23,336;99,908
0,13;26,66;2,169;0,093;23,336;99,907
0,13;26,67;2,168;0,093;23,336;99,906
0,14;26,67;2,166;0,093;23,336;99,906
0,14;26,67;2,165;0,093;23,336;99,905
0,14;26,67;2,164;0,093;23,335;99,904
0,14;26,67;2,163;0,093;23,335;99,904
0,14;26,67;2,162;0,093;23,335;99,903
0,14;26,67;2,161;0,092;23,335;99,903
0,14;26,67;2,159;0,092;23,335;99,902
0,15;26,67;2,158;0,092;23,335;99,901
0,15;26,67;2,157;0,092;23,335;99,901
0,15;26,67;2,156;0,092;23,334;99,9
0,15;26,67;2,155;0,092;23,334;99,899
0,15;26,67;2,154;0,092;23,334;99,899
0,16;26,67;2,153;0,092;23,334;99,898
0,16;26,67;2,152;0,092;23,334;99,897
0,16;26,68;2,151;0,092;23,334;99,896
0,16;26,68;2,15;0,092;23,333;99,896
0,16;26,68;2,149;0,092;23,333;99,895
0,16;26,68;2,148;0,092;23,333;99,894
0,16;26,68;2,147;0,092;23,333;99,894
0,17;26,68;2,146;0,092;23,333;99,893
0,17;26,68;2,145;0,092;23,333;99,892
0,17;26,68;2,144;0,092;23,332;99,891
0,17;26,68;2,143;0,092;23,332;99,89
0,17;26,68;2,142;0,092;23,332;99,89
0,18;26,68;2,141;0,092;23,332;99,889
0,18;26,68;2,14;0,092;23,332;99,888
0,18;26,69;2,14;0,092;23,331;99,887
0,18;26,69;2,139;0,092;23,331;99,886
0,18;26,69;2,138;0,092;23,331;99,885
