Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;37,99;-14,38;-0,514;27,995;99,994
0;37,99;-14,38;-0,514;27,994;99,991
0;37,99;-14,38;-0,514;27,993;99,988
0,01;37,99;-14,38;-0,514;27,992;99,985
0,01;37,99;-14,38;-0,514;27,991;99,982
0,01;37,99;-14,38;-0,514;27,991;99,979
0,01;37,99;-14,38;-0,514;27,99;99,976
0,01;37,99;-14,38;-0,514;27,989;99,973
0,01;37,99;-14,38;-0,514;27,988;99,97
0,01;37,99;-14,38;-0,514;27,987;99,967
0,02;37,99;-14,38;-0,514;27,986;99,964
0,02;37,99;-14,38;-0,514;27,985;99,961
0,02;37,99;-14,38;-0,514;27,985;99,958
0,02;37,99;-14,38;-0,514;27,984;99,955
0,02;37,99;-14,38;-0,514;27,983;99,951
0,03;37,99;-14,38;-0,514;27,982;99,948
0,03;37,99;-14,38;-0,514;27,981;99,945
0,03;37,99;-14,38;-0,514;27,98;99,942
0,03;37,99;-14,38;-0,514;27,979;99,939
0,03;37,99;-14,38;-0,514;27,978;99,935
0,03;37,99;-14,38;-0,514;27,977;99,932
0,03;37,99;-14,38;-0,514;27,976;99,929
0,04;37,99;-14,38;-0,514;27,976;99,926
0,04;37,99;-14,38;-0,514;27,975;99,923
0,04;38;-14,373;-0,513;27,974;99,919
0,04;38,02;-14,366;-0,513;27,973;99,916
0,04;38,03;-14,359;-0,513;27,972;99,913
0,05;38,05;-14,351;-0,513;27,971;99,91
0,05;38,06;-14,344;-0,512;27,97;99,906
0,05;38,08;-14,337;-0,512;27,969;99,903
0,05;38,09;-14,329;-0,512;27,968;99,9
0,05;38,1;-14,322;-0,512;27,968;99,897
0,05;38,12;-14,315;-0,511;27,967;99,894
0,05;38,13;-14,308;-0,511;27,966;99,89
0,06;38,15;-14,301;-0,511;27,965;99,887
0,06;38,16;-14,294;-0,511;27,964;99,884
0,06;38,17;-14,287;-0,51;27,963;99,881
0,06;38,19;-14,281;-0,51;27,962;99,878
0,06;38,2;-14,274;-0,51;27,961;99,875
0,07;38,22;-14,268;-0,51;27,96;99,871
0,07;38,23;-14,261;-0,509;27,96;99,868
