Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;34,97;-4,668;-0,188;24,783;99,995
0;34,97;-4,668;-0,188;24,782;99,992
0;34,97;-4,668;-0,188;24,782;99,99
0,01;34,97;-4,668;-0,188;24,781;99,987
0,01;34,97;-4,668;-0,188;24,781;99,985
0,01;34,97;-4,668;-0,188;24,78;99,982
0,01;34,97;-4,668;-0,188;24,779;99,979
0,01;34,97;-4,668;-0,188;24,779;99,977
0,01;34,97;-4,668;-0,188;24,778;99,974
0,01;34,97;-4,668;-0,188;24,777;99,972
0,02;34,97;-4,668;-0,188;24,777;99,969
0,02;34,97;-4,668;-0,188;24,776;99,967
0,02;34,97;-4,668;-0,188;24,775;99,964
0,02;34,97;-4,668;-0,188;24,775;99,961
0,02;34,97;-4,668;-0,188;24,774;99,959
0,03;34,97;-4,668;-0,188;24,773;99,956
0,03;34,97;-4,668;-0,188;24,773;99,953
0,03;34,97;-4,668;-0,188;24,772;99,951
0,03;34,97;-4,668;-0,188;24,772;99,948
0,03;34,97;-4,668;-0,188;24,771;99,945
0,03;34,97;-4,668;-0,188;24,77;99,943
0,03;34,97;-4,668;-0,188;24,769;99,94
0,04;34,97;-4,668;-0,188;24,769;99,937
0,04;34,97;-4,668;-0,188;24,768;99,934
0,04;34,97;-4,668;-0,188;24,767;99,932
0,04;34,98;-4,671;-0,188;24,767;99,929
0,04;34,99;-4,675;-0,189;24,766;99,926
0,05;34,99;-4,678;-0,189;24,765;99,924
0,05;35;-4,682;-0,189;24,765;99,921
0,05;35,01;-4,686;-0,189;24,764;99,918
0,05;35,02;-4,69;-0,189;24,763;99,915
0,05;35,03;-4,693;-0,189;24,763;99,913
0,05;35,03;-4,697;-0,19;24,762;99,91
0,05;35,04;-4,701;-0,19;24,761;99,907
0,06;35,05;-4,705;-0,19;24,761;99,905
0,06;35,06;-4,708;-0,19;24,76;99,902
0,06;35,07;-4,712;-0,19;24,759;99,899
0,06;35,07;-4,716;-0,19;24,759;99,897
0,06;35,08;-4,72;-0,19;24,758;99,894
0,07;35,09;-4,723;-0,191;24,757;99,891
0,07;35,1;-4,727;-0,191;24,757;99,889
0,07;35,11;-4,73;-0,191;24,756;99,886
0,07;35,11;-4,734;-0,191;24,756;99,884
0,07;35,12;-4,738;-0,191;24,755;99,881
0,07;35,13;-4,741;-0,191;24,754;99,879
0,08;35,14;-4,745;-0,191;24,754;99,876
0,08;35,14;-4,749;-0,192;24,753;99,874
0,08;35,15;-4,752;-0,192;24,753;99,872
0,08;35,16;-4,756;-0,192;24,752;99,869
0,08;35,17;-4,76;-0,192;24,751;99,867
0,08;35,18;-4,763;-0,192;24,751;99,865
0,08;35,18;-4,767;-0,192;24,75;99,863
0,09;35,19;-4,77;-0,192;24,75;99,86
0,09;35,2;-4,774;-0,193;24,749;99,858
0,09;35,21;-4,777;-0,193;24,749;99,856
0,09;35,22;-4,78;-0,193;24,748;99,854
0,09;35,22;-4,784;-0,193;24,748;99,852
0,09;35,23;-4,787;-0,193;24,747;99,849
0,1;35,24;-4,79;-0,193;24,747;99,847
0,1;35,25;-4,793;-0,193;24,746;99,845
0,1;35,25;-4,797;-0,194;24,745;99,843
0,1;35,26;-4,8;-0,194;24,745;99,841
0,1;35,27;-4,804;-0,194;24,744;99,838
0,11;35,28;-4,807;-0,194;24,744;99,836
0,11;35,28;-4,81;-0,194;24,743;99,834
0,11;35,29;-4,814;-0,194;24,743;99,832
0,11;35,3;-4,817;-0,194;24,742;99,83
0,11;35,31;-4,82;-0,194;24,742;99,828
0,11;35,32;-4,824;-0,195;24,741;99,826
0,12;35,32;-4,827;-0,195;24,741;99,823
0,12;35,33;-4,83;-0,195;24,74;99,821
0,12;35,34;-4,833;-0,195;24,74;99,819
0,12;35,35;-4,837;-0,195;24,739;99,817
0,12;35,35;-4,84;-0,195;24,739;99,815
0,12;35,36;-4,843;-0,195;24,738;99,813
0,13;35,37;-4,846;-0,196;24,737;99,811
0,13;35,38;-4,849;-0,196;24,737;99,809
0,13;35,38;-4,853;-0,196;24,736;99,806
0,13;35,39;-4,856;-0,196;24,736;99,804
0,13;35,4;-4,859;-0,196;24,735;99,802
0,13;35,41;-4,863;-0,196;24,735;99,8
0,14;35,41;-4,866;-0,196;24,734;99,798
0,14;35,42;-4,869;-0,196;24,734;99,795
0,14;35,43;-4,873;-0,197;24,733;99,793
0,14;35,44;-4,876;-0,197;24,733;99,791
0,14;35,44;-4,879;-0,197;24,732;99,789
0,14;35,45;-4,883;-0,197;24,731;99,786
0,14;35,46;-4,886;-0,197;24,731;99,784
0,15;35,47;-4,89;-0,197;24,73;99,782
0,15;35,47;-4,893;-0,197;24,73;99,779
0,15;35,48;-4,897;-0,198;24,729;99,777
0,15;35,49;-4,901;-0,198;24,728;99,774
0,15;35,5;-4,904;-0,198;24,728;99,772
0,16;35,5;-4,907;-0,198;24,727;99,769
0,16;35,51;-4,911;-0,198;24,727;99,767
0,16;35,52;-4,914;-0,198;24,726;99,764
0,16;35,53;-4,918;-0,198;24,725;99,761
0,16;35,53;-4,921;-0,199;24,725;99,759
0,16;35,54;-4,924;-0,199;24,724;99,756
0,16;35,55;-4,928;-0,199;24,723;99,753
0,17;35,56;-4,931;-0,199;24,723;99,75
0,17;35,56;-4,934;-0,199;24,722;99,747
0,17;35,57;-4,938;-0,199;24,721;99,745
0,17;35,58;-4,941;-0,199;24,72;99,742
0,17;35,59;-4,945;-0,2;24,72;99,739
0,18;35,59;-4,948;-0,2;24,719;99,736
0,18;35,6;-4,952;-0,2;24,718;99,733
0,18;35,61;-4,955;-0,2;24,718;99,73
0,18;35,62;-4,959;-0,2;24,717;99,727
0,18;35,62;-4,962;-0,2;24,716;99,724
0,18;35,63;-4,966;-0,2;24,715;99,721
0,19;35,64;-4,969;-0,201;24,715;99,718
0,19;35,65;-4,973;-0,201;24,714;99,715
0,19;35,65;-4,976;-0,201;24,713;99,713
0,19;35,66;-4,98;-0,201;24,712;99,71
0,19;35,67;-4,983;-0,201;24,712;99,707
0,19;35,68;-4,987;-0,201;24,711;99,704
0,19;35,68;-4,99;-0,201;24,71;99,701
0,2;35,69;-4,993;-0,201;24,71;99,698
0,2;35,7;-4,996;-0,202;24,709;99,695
0,2;35,7;-5;-0,202;24,708;99,692
0,2;35,71;-5,003;-0,202;24,707;99,689
0,2;35,72;-5,006;-0,202;24,707;99,686
0,21;35,73;-5,01;-0,202;24,706;99,683
0,21;35,73;-5,013;-0,202;24,705;99,68
0,21;35,74;-5,016;-0,202;24,704;99,677
0,21;35,75;-5,02;-0,203;24,704;99,674
0,21;35,76;-5,023;-0,203;24,703;99,672
0,21;35,76;-5,027;-0,203;24,702;99,669
0,21;35,77;-5,03;-0,203;24,702;99,666
0,22;35,78;-5,034;-0,203;24,701;99,663
0,22;35,79;-5,037;-0,203;24,7;99,66
0,22;35,79;-5,041;-0,203;24,699;99,657
0,22;35,8;-5,044;-0,204;24,699;99,654
0,22;35,81;-5,048;-0,204;24,698;99,651
0,23;35,81;-5,051;-0,204;24,697;99,648
0,23;35,82;-5,055;-0,204;24,697;99,646
0,23;35,83;-5,059;-0,204;24,696;99,643
0,23;35,84;-5,062;-0,204;24,695;99,64
0,23;35,84;-5,065;-0,204;24,694;99,637
0,23;35,85;-5,069;-0,205;24,694;99,634
0,24;35,86;-5,072;-0,205;24,693;99,631
0,24;35,86;-5,076;-0,205;24,692;99,628
0,24;35,87;-5,079;-0,205;24,692;99,626
0,24;35,88;-5,083;-0,205;24,691;99,623
0,24;35,89;-5,086;-0,205;24,69;99,62
0,24;35,89;-5,09;-0,205;24,689;99,617
0,24;35,9;-5,093;-0,205;24,689;99,614
0,25;35,91;-5,097;-0,206;24,688;99,611
0,25;35,92;-5,1;-0,206;24,687;99,608
0,25;35,92;-5,103;-0,206;24,687;99,606
0,25;35,93;-5,107;-0,206;24,686;99,603
0,25;35,94;-5,11;-0,206;24,685;99,6
0,26;35,94;-5,113;-0,206;24,685;99,597
0,26;35,95;-5,117;-0,206;24,684;99,594
0,26;35,96;-5,121;-0,207;24,683;99,591
0,26;35,97;-5,124;-0,207;24,682;99,588
0,26;35,97;-5,128;-0,207;24,682;99,586
0,26;35,98;-5,131;-0,207;24,681;99,583
0,26;35,99;-5,135;-0,207;24,68;99,58
0,27;35,99;-5,139;-0,207;24,68;99,577
0,27;36;-5,142;-0,207;24,679;99,574
0,27;36,01;-5,146;-0,208;24,678;99,571
0,27;36,02;-5,15;-0,208;24,677;99,568
0,27;36,02;-5,153;-0,208;24,677;99,566
0,28;36,03;-5,157;-0,208;24,676;99,563
0,28;36,04;-5,161;-0,208;24,675;99,56
0,28;36,04;-5,164;-0,208;24,675;99,557
0,28;36,05;-5,168;-0,209;24,674;99,554
0,28;36,06;-5,172;-0,209;24,673;99,551
0,28;36,07;-5,176;-0,209;24,672;99,548
0,29;36,07;-5,179;-0,209;24,672;99,546
0,29;36,08;-5,183;-0,209;24,671;99,543
0,29;36,09;-5,186;-0,209;24,67;99,54
0,29;36,1;-5,19;-0,209;24,67;99,537
0,29;36,1;-5,194;-0,21;24,669;99,534
0,29;36,11;-5,197;-0,21;24,668;99,531
0,3;36,12;-5,201;-0,21;24,668;99,529
0,3;36,12;-5,205;-0,21;24,667;99,526
0,3;36,13;-5,208;-0,21;24,666;99,523
0,3;36,14;-5,212;-0,21;24,665;99,52
0,3;36,15;-5,215;-0,21;24,665;99,517
0,3;36,15;-5,219;-0,211;24,664;99,514
0,3;36,16;-5,222;-0,211;24,663;99,511
0,31;36,17;-5,226;-0,211;24,663;99,509
0,31;36,18;-5,23;-0,211;24,662;99,506
0,31;36,18;-5,233;-0,211;24,661;99,503
0,31;36,19;-5,237;-0,211;24,661;99,5
0,31;36,2;-5,24;-0,211;24,66;99,497
0,31;36,2;-5,244;-0,212;24,659;99,494
0,32;36,21;-5,247;-0,212;24,658;99,492
0,32;36,22;-5,251;-0,212;24,658;99,489
0,32;36,23;-5,254;-0,212;24,657;99,486
0,32;36,23;-5,258;-0,212;24,656;99,483
0,32;36,24;-5,261;-0,212;24,656;99,48
0,33;36,25;-5,265;-0,212;24,655;99,478
0,33;36,26;-5,268;-0,213;24,654;99,475
0,33;36,26;-5,272;-0,213;24,654;99,472
