Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;25,87;-0,662;-0,012;55,203;99,998
0;25,87;-0,662;-0,012;55,203;99,997
0;25,87;-0,662;-0,012;55,202;99,995
0,01;25,87;-0,662;-0,012;55,201;99,994
0,01;25,87;-0,662;-0,012;55,201;99,993
0,01;25,87;-0,662;-0,012;55,2;99,992
0,01;25,87;-0,662;-0,012;55,199;99,991
0,01;25,87;-0,662;-0,012;55,199;99,99
0,01;25,87;-0,662;-0,012;55,198;99,989
0,01;25,87;-0,662;-0,012;55,197;99,987
0,02;25,87;-0,662;-0,012;55,197;99,986
0,02;25,87;-0,662;-0,012;55,196;99,985
0,02;25,87;-0,662;-0,012;55,196;99,984
0,02;25,87;-0,662;-0,012;55,195;99,983
0,02;25,87;-0,662;-0,012;55,194;99,982
0,03;25,87;-0,662;-0,012;55,194;99,981
0,03;25,87;-0,662;-0,012;55,193;99,979
0,03;25,87;-0,662;-0,012;55,192;99,978
0,03;25,87;-0,662;-0,012;55,192;99,977
0,03;25,87;-0,662;-0,012;55,191;99,976
0,03;25,87;-0,662;-0,012;55,19;99,975
0,03;25,87;-0,662;-0,012;55,19;99,974
0,04;25,87;-0,662;-0,012;55,189;99,972
0,04;25,87;-0,662;-0,012;55,189;99,971
0,04;25,87;-0,662;-0,012;55,188;99,97
0,04;25,87;-0,663;-0,012;55,187;99,969
0,04;25,87;-0,664;-0,012;55,187;99,968
0,05;25,87;-0,665;-0,012;55,186;99,967
0,05;25,87;-0,667;-0,012;55,185;99,966
0,05;25,87;-0,668;-0,012;55,185;99,964
0,05;25,87;-0,669;-0,012;55,184;99,963
0,05;25,87;-0,67;-0,012;55,183;99,962
0,05;25,87;-0,672;-0,012;55,183;99,961
0,05;25,87;-0,673;-0,012;55,182;99,96
0,06;25,87;-0,674;-0,012;55,182;99,959
0,06;25,87;-0,676;-0,012;55,181;99,957
0,06;25,87;-0,677;-0,012;55,18;99,956
0,06;25,87;-0,678;-0,012;55,18;99,955
0,06;25,87;-0,68;-0,012;55,179;99,954
0,07;25,87;-0,681;-0,012;55,178;99,953
0,07;25,87;-0,682;-0,012;55,178;99,952
0,07;25,87;-0,684;-0,012;55,177;99,951
0,07;25,87;-0,685;-0,012;55,177;99,95
0,07;25,87;-0,686;-0,012;55,176;99,949
0,07;25,88;-0,688;-0,012;55,176;99,948
0,08;25,88;-0,689;-0,012;55,175;99,947
0,08;25,88;-0,69;-0,013;55,174;99,946
0,08;25,88;-0,692;-0,013;55,174;99,945
0,08;25,88;-0,693;-0,013;55,173;99,944
0,08;25,88;-0,694;-0,013;55,173;99,943
0,08;25,88;-0,695;-0,013;55,172;99,942
0,08;25,88;-0,696;-0,013;55,172;99,941
0,09;25,88;-0,698;-0,013;55,171;99,94
