Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;34,23;3,652;0,146;24,944;99,998
0;34,23;3,652;0,146;24,943;99,997
0;34,23;3,652;0,146;24,943;99,996
0,01;34,23;3,652;0,146;24,943;99,995
0,01;34,23;3,652;0,146;24,943;99,994
0,01;34,23;3,652;0,146;24,942;99,993
0,01;34,23;3,652;0,146;24,942;99,992
0,01;34,23;3,652;0,146;24,942;99,99
0,01;34,23;3,652;0,146;24,941;99,989
0,01;34,23;3,652;0,146;24,941;99,988
0,02;34,23;3,652;0,146;24,941;99,987
0,02;34,23;3,652;0,146;24,941;99,986
0,02;34,23;3,652;0,146;24,94;99,985
0,02;34,23;3,652;0,146;24,94;99,984
0,02;34,23;3,652;0,146;24,94;99,983
0,03;34,23;3,652;0,146;24,94;99,982
0,03;34,23;3,652;0,146;24,939;99,981
0,03;34,23;3,652;0,146;24,939;99,98
0,03;34,23;3,652;0,146;24,939;99,979
0,03;34,23;3,652;0,146;24,938;99,977
0,03;34,23;3,652;0,146;24,938;99,976
0,03;34,23;3,652;0,146;24,938;99,975
0,04;34,23;3,652;0,146;24,938;99,974
0,04;34,23;3,652;0,146;24,937;99,973
0,04;34,23;3,652;0,146;24,937;99,972
0,04;34,23;3,65;0,146;24,937;99,971
0,04;34,24;3,647;0,146;24,936;99,969
0,05;34,25;3,645;0,146;24,936;99,968
0,05;34,26;3,642;0,146;24,936;99,967
0,05;34,26;3,64;0,146;24,936;99,966
0,05;34,27;3,637;0,146;24,935;99,965
0,05;34,28;3,634;0,146;24,935;99,964
0,05;34,29;3,631;0,146;24,935;99,963
0,05;34,3;3,628;0,145;24,934;99,961
0,06;34,3;3,625;0,145;24,934;99,96
0,06;34,31;3,622;0,145;24,934;99,959
0,06;34,32;3,619;0,145;24,934;99,958
0,06;34,33;3,616;0,145;24,933;99,957
0,06;34,33;3,613;0,145;24,933;99,955
0,07;34,34;3,61;0,145;24,933;99,954
0,07;34,35;3,607;0,145;24,932;99,953
0,07;34,36;3,604;0,144;24,932;99,952
0,07;34,37;3,601;0,144;24,932;99,951
0,07;34,37;3,597;0,144;24,931;99,949
0,07;34,38;3,594;0,144;24,931;99,948
0,08;34,39;3,591;0,144;24,931;99,947
0,08;34,4;3,588;0,144;24,931;99,946
0,08;34,4;3,585;0,144;24,93;99,944
0,08;34,41;3,582;0,144;24,93;99,943
0,08;34,42;3,579;0,143;24,93;99,942
0,08;34,43;3,576;0,143;24,929;99,941
0,08;34,43;3,572;0,143;24,929;99,939
0,09;34,44;3,569;0,143;24,929;99,938
0,09;34,45;3,566;0,143;24,928;99,937
0,09;34,46;3,563;0,143;24,928;99,936
0,09;34,47;3,56;0,143;24,928;99,934
0,09;34,47;3,556;0,143;24,927;99,933
0,09;34,48;3,553;0,142;24,927;99,932
0,1;34,49;3,55;0,142;24,927;99,931
0,1;34,5;3,547;0,142;24,926;99,929
0,1;34,5;3,544;0,142;24,926;99,928
0,1;34,51;3,541;0,142;24,926;99,927
0,1;34,52;3,538;0,142;24,926;99,926
0,11;34,53;3,535;0,142;24,925;99,924
0,11;34,53;3,532;0,142;24,925;99,923
0,11;34,54;3,529;0,141;24,925;99,922
0,11;34,55;3,526;0,141;24,924;99,92
0,11;34,56;3,522;0,141;24,924;99,919
0,11;34,56;3,519;0,141;24,924;99,918
0,12;34,57;3,515;0,141;24,923;99,917
0,12;34,58;3,512;0,141;24,923;99,915
0,12;34,59;3,509;0,141;24,923;99,914
0,12;34,59;3,505;0,141;24,922;99,913
0,12;34,6;3,502;0,14;24,922;99,911
0,12;34,61;3,498;0,14;24,922;99,91
0,13;34,61;3,495;0,14;24,921;99,909
0,13;34,62;3,491;0,14;24,921;99,908
0,13;34,63;3,488;0,14;24,921;99,906
0,13;34,64;3,484;0,14;24,92;99,905
0,13;34,64;3,481;0,14;24,92;99,904
0,13;34,65;3,477;0,139;24,92;99,902
